frequency (Hz);Avg Error %;Min Error %;Max Error %
23828100.0;0.00010810708953081696;2.759817406792103e-06;0.0003608677914731227
24023400.0;0.00010256143610035904;7.112005369075677e-06;0.00025457853730600415
24218800.0;0.0001156041638024979;7.537740799708578e-07;0.0003556574641845274
24414100.0;0.00010689944673804877;1.1928003501687392e-06;0.0003445771180873045
24609400.0;0.00011653160026974736;1.5478015918392937e-07;0.0004206025477376759
24804700.0;0.00010941075846665748;3.089501406792432e-08;0.00038451089202045003
25000000.0;0.00011576261232251982;4.5671645262236814e-06;0.0009300675585141788
25195300.0;0.0001125753558613172;1.7633488033977737e-06;0.00039923111804559224
25390600.0;0.0001159748734596222;1.1069700249437244e-06;0.0003721026025676454
25585900.0;9.350595650910833e-05;2.799212335711703e-06;0.0003705851039979436
