subband index,frequency (Hz),Avg Error %,Min Error %,Max Error %,Avg Error,Min Error,Max Error,Min Out,Max Out,Min Ref,Max Ref,Shift,Range Size %,Ref Range,Avg Err/Range,Min Err/Range,Max Err/Range
70,1.37E+07,10.478,0.00289498,180.14,1.82E+07,3248,4.81E+08,-6.21E+07,3.09E+09,5.07E+07,3.46E+09,2.44E+08,9.23E+01,3412102700,5.34E-01,0.00009519056973,1.41E+01
71,1.39E+07,6.49405,0.00162688,96.6526,67969,9.0625,1.60E+06,19072,9.57E+06,407138,1.07E+07,782753,9.24E+01,10338562,0.6574318556,0.00008765725833,1.55E+01
72,1.41E+07,10.6867,0.000782007,143.148,2.61E+07,1312,6.54E+08,-5.92E+07,4.08E+09,8.49E+07,4.61E+09,3.37E+08,9.15E+01,4521988500,5.77E-01,0.00002901378453,1.45E+01
73,1.43E+07,11.1347,0.000213074,156.414,481446,3.875,1.14E+07,-1.29E+06,6.82E+07,1.25E+06,7.83E+07,6.36E+06,9.01E+01,77083450,0.6245776493,0.000005027019419,1.48E+01
74,1.45E+07,10.9894,0.00053977,194.957,289647,6.5,7.06E+06,-917504,4.22E+07,905061,4.81E+07,3875482.5,9.13E+01,47228539,0.6132880799,0.00001376286486,1.50E+01
75,1.46E+07,10.8923,0.000451203,211.587,7.34E+06,220,1.65E+08,-2.71E+07,1.13E+09,1.74E+07,1.29E+09,1.01E+08,9.12E+01,1271903900,5.77E-01,0.00001729690427,1.30E+01
76,1.48E+07,13.1352,0.00376222,181.48,1.51E+07,2288,3.75E+08,-5.19E+07,2.42E+09,3.75E+07,2.79E+09,2.32E+08,8.96E+01,2753490400,5.47E-01,0.0000830945334,1.36E+01
77,1.50E+07,8.32667,0.00172693,110.699,830671,73,1.54E+07,-436224,9.44E+07,3.38E+06,1.08E+08,8.56E+06,9.09E+01,104284050,0.7965465476,0.00007000111714,1.48E+01
78,1.52E+07,7.11334,0.000343322,64.398,382334,11.25,5.92E+06,1.16E+06,3.57E+07,1.91E+06,4.07E+07,2.91E+06,8.88E+01,38829700,0.9846431984,0.00002897266783,1.52E+01
79,1.54E+07,8.59913,6.63E-05,105.247,783845,3,1.36E+07,-249856,8.65E+07,2.78E+06,9.86E+07,7.57E+06,9.05E+01,95838100,0.8178845365,0.000003130279085,1.42E+01
80,1.56E+07,5.44685,0.000458759,36.238,136802,5.75,1.94E+06,847872,1.36E+07,831032,1.55E+07,937530,8.70E+01,14626868,0.9352788307,0.00003931121823,1.33E+01
81,1.58E+07,11.6056,0.00258768,175.91,9.79E+06,1160,2.25E+08,-1.68E+07,1.41E+09,2.76E+07,1.62E+09,1.28E+08,8.95E+01,1592907500,6.15E-01,0.00007282280986,1.41E+01
82,1.60E+07,12.4725,0.00188693,197.914,2.10E+06,323.5,4.68E+07,-2.79E+06,2.85E+08,5.53E+06,3.26E+08,2.48E+07,8.97E+01,320926980,6.53E-01,0.0001008017462,1.46E+01
83,1.62E+07,12.4395,0.00093249,179.905,3.44E+06,176,7.61E+07,-6.82E+06,4.51E+08,8.09E+06,5.18E+08,4.08E+07,8.98E+01,509504530,6.76E-01,0.00003454336314,1.49E+01
84,1.64E+07,5.18227,0.000554087,65.8369,27025.5,2.03125,569409,99328,3.38E+06,244587,3.86E+06,315054.5,9.06E+01,3615363,0.747518299,0.00005618384655,15.7497048
85,1.66E+07,12.6071,0.00390331,194.015,344801,44.125,8.61E+06,-1.49E+06,4.82E+07,884546,5.59E+07,5.03E+06,9.03E+01,55042254,0.6264296517,0.00008016568508,1.56E+01
86,1.68E+07,13.6545,4.59E-05,247.103,2.21E+08,512,4.80E+09,-1.01E+09,2.86E+10,5.42E+08,3.30E+10,2.99E+09,9.11E+01,32483001000,6.82E-01,0.000001576209045,1.48E+01
87,1.70E+07,6.84514,0.00103938,72.5365,42604.4,4.40625,735882,98304,4.23E+06,286074,4.87E+06,415655,9.01E+01,4584536,0.9293066954,0.00009611114407,16.05139539
88,1.72E+07,4.1211,0.0013905,25.6684,14114.8,3.53125,124490,193536,1.06E+06,215432,1.18E+06,72273,8.95E+01,963988,1.464209098,0.0003663168006,12.91406117
89,1.74E+07,15.3574,0.00150654,315.446,821716,55.5,1.93E+07,-4.78E+06,1.09E+08,1.96E+06,1.27E+08,1.21E+07,9.14E+01,124573550,0.6596231704,0.00004455199358,1.55E+01
90,1.76E+07,11.3278,0.000214697,134.76,3.83E+07,448,6.14E+08,-6.68E+07,3.52E+09,1.28E+08,4.09E+09,3.79E+08,9.07E+01,3957498000,9.67E-01,0.00001132028367,1.55E+01
91,1.78E+07,16.6488,0.000272839,345.82,1.49E+07,216,3.65E+08,-1.03E+08,2.16E+09,3.18E+07,2.53E+09,2.49E+08,9.08E+01,2496203300,5.96E-01,0.000008653141353,1.46E+01
92,1.80E+07,16.6608,0.000208412,378.869,948398,32,2.51E+07,-6.91E+06,1.38E+08,2.06E+06,1.62E+08,1.61E+07,9.11E+01,159516010,0.5945472182,0.00002006068231,1.57E+01
93,1.82E+07,11.1122,0.000383599,194.512,582760,11.25,1.53E+07,-2.16E+06,8.44E+07,2.08E+06,9.78E+07,8.82E+06,9.04E+01,95720910,0.6088115961,0.00001175291794,1.60E+01
94,1.84E+07,4.21023,1.41E-05,29.7758,12771.1,0.03125,150459,144384,1.00E+06,184419,1.12E+06,80347.5,9.14E+01,939761,1.358973186,0.000003325313564,16.01034731
95,1.86E+07,6.51461,0.00133629,91.6545,31369.3,4.625,766604,25728,3.93E+06,221869,4.58E+06,422545.5,8.96E+01,4359241,0.7196046284,0.0001060964512,17.58572192
96,1.88E+07,4.37364,0.000314153,24.6277,13742.2,0.875,151950,154624,987136,181574,1.13E+06,82472,8.82E+01,943556,1.45642654,0.00009273429452,16.10397263
97,1.89E+07,5.25319,3.37E-05,27.3537,20905.3,0.09375,198918,186368,1.26E+06,227806,1.45E+06,113419,8.82E+01,1219164,1.714724188,0.000007689695562,16.31593453
98,1.91E+07,6.04842,0.000171661,79.6393,23406.1,0.453125,519895,48384,2.80E+06,200109,3.28E+06,314962.5,8.94E+01,3079751,0.7599997532,0.00001471304011,16.88107253
99,1.93E+07,7.26068,0.00082162,106.522,34052.9,3.0625,907294,-19072,4.55E+06,235521,5.35E+06,527281.5,8.93E+01,5119199,0.6651997705,0.00005982381228,17.72335867
100,1.95E+07,4.0872,0.000238418,32.9657,11532.1,0.765625,168036,128000,987136,173305,1.14E+06,97139.5,8.92E+01,962805,1.19776071,0.00007952025592,17.45275523
101,1.97E+07,3.91399,0.000373683,35.5978,10999.9,0.9375,176253,118272,1.00E+06,169767,1.16E+06,104932.5,8.92E+01,992123,1.108723414,0.00009449433185,17.76523677
102,1.99E+07,4.57306,0.000444097,35.1288,13544.5,1.21875,182274,131072,1.00E+06,183330,1.16E+06,105799,8.91E+01,979530,1.382754995,0.0001244219166,18.60831215
103,2.01E+07,5.72861,0.00022362,59.9269,22085.2,0.53125,446325,114688,2.62E+06,203678,3.03E+06,251080,8.85E+01,2830932,0.7801388377,0.00001876590466,15.76600922
104,2.03E+07,3.7082,0.000557396,35.4133,9565.29,1.25,157376,110592,925696,159843,1.07E+06,96592.5,8.96E+01,909787,1.051376861,0.0001373947968,17.29811483
105,2.05E+07,3.79004,0.000138716,30.5673,10186,0.28125,133832,124416,856064,165467,988936,86961.5,88.84948917,823469,1.236962169,0.00003415429118,16.25222079
106,2.07E+07,3.54638,2.79E-05,31.4588,8648.76,0.046875,129119,120832,798720,157501,916896,77422.5,89.26685059,759395,1.138901362,0.000006172676934,17.00287729
107,2.09E+07,2.9737,2.45E-05,32.5394,6628.76,0.046875,122775,107520,765952,142550,881423,75250.5,89.11301401,738873,0.8971447055,0.000006344121385,16.61652273
108,2.11E+07,9.0769,1.36E-05,117.513,61788.2,0.0625,1.48E+06,-83456,7.60E+06,339017,9.03E+06,924501.5,8.84E+01,8689693,0.7110515872,0.0000007192429008,1.70E+01
109,2.13E+07,5.87117,0.000757282,78.7676,18685.3,2.09375,412318,43520,2.26E+06,175083,2.67E+06,268961.5,8.90E+01,2492267,0.7497310681,0.0000840098593,16.54389357
110,2.15E+07,18.4165,0.00130176,443.731,1.48E+06,75.5,3.79E+07,-9.57E+06,1.97E+08,2.88E+06,2.34E+08,2.46E+07,8.95E+01,230958850,6.39E-01,0.000032689806,1.64E+01
111,2.17E+07,16.3909,0.000504021,221.28,2.31E+07,292,7.30E+08,-1.37E+08,3.44E+09,4.76E+07,4.12E+09,4.33E+08,8.78E+01,4073706500,5.66E-01,0.000007167919437,1.79E+01
112,2.19E+07,17.2174,0.000701899,238.705,6.48E+06,138,2.10E+08,-4.27E+07,9.40E+08,1.16E+07,1.14E+09,1.26E+08,8.72E+01,1126379600,5.75E-01,0.00001225164234,1.87E+01
113,2.21E+07,3.0478,0.00047182,39.198,6379.88,0.734375,137969,98304,823296,131510,953691,81800.5,88.17912357,822181,0.7759702547,0.00008932035647,16.78085482
114,2.23E+07,2.91635,0.000141748,35.8653,5862.6,0.265625,125240,102912,712704,135822,819962,70084,89.13263367,684140,0.8569298682,0.00003882611746,18.30619464
115,2.25E+07,6.97606,0.00095653,108.539,23590.4,2.5625,679496,-21888,3.16E+06,178746,3.83E+06,436142,8.71E+01,3655014,0.6454257084,0.00007010917058,18.59079062
116,2.27E+07,2.52158,3.62E-05,28.3203,4656.63,0.078125,85268.1,105472,528384,124940,608865,49974.5,87.39205455,483925,0.9622627473,0.00001614403058,17.62010642
117,2.29E+07,2.50751,0.000168373,27.0297,4637.52,0.25,82144.3,108032,524288,131492,604961,52066.5,87.91620993,473469,0.9794770091,0.00005280176738,17.34945688
118,2.30E+07,6.45359,0.000381471,105.275,19283.7,0.9375,582195,19072,2.65E+06,165376,3.18E+06,336852,8.74E+01,3016234,0.6393303703,0.00003108180599,19.30205017
119,2.32E+07,1.87622,0.000115403,17.8639,3115.04,0.140625,47529.8,110592,342016,117168,383339,23949.5,86.94561015,266171,1.170315324,0.00005283257755,17.85686645
